Date,Open,High,Low,Close,Adj Close,Volume
2012-11-01,null,null,null,null,null,null
2012-12-01,52.660000,55.520000,52.660000,54.119999,51.022675,17695700
2013-01-01,54.980000,59.299999,54.070000,58.700001,55.340565,14255100
2013-02-01,59.240002,59.830002,52.790001,55.119999,51.965439,23425300
2013-03-01,54.790001,57.680000,54.770000,57.590000,54.509003,17315000
2013-04-01,57.459999,62.000000,55.869999,61.200001,57.925865,18313600
2013-05-01,60.990002,63.910000,60.590000,60.900002,57.641914,15419700
2013-06-01,61.000000,61.540001,57.540001,58.930000,55.973797,11497100
2013-07-01,58.950001,63.889999,58.740002,63.230000,60.058098,12266400
2013-08-01,63.680000,65.650002,58.919998,59.090000,56.125782,12688000
2013-09-01,59.630001,62.939999,58.750000,59.849998,57.048077,12752900
2013-10-01,59.680000,66.220001,58.860001,64.669998,61.642422,19312400
2013-11-01,64.699997,68.290001,63.459999,67.330002,64.177895,9707000
2013-12-01,67.470001,69.639999,66.019997,69.089996,66.072632,10781300
2014-01-01,68.949997,71.620003,66.970001,70.059998,67.000282,11891700
2014-02-01,70.010002,71.930000,67.800003,70.059998,67.000282,15041100
2014-03-01,69.669998,72.900002,67.919998,68.029999,65.292999,13212900
2014-04-01,68.220001,70.830002,64.750000,70.809998,67.961166,14687600
2014-05-01,70.809998,71.760002,69.160004,70.790001,67.941956,10910900
2014-06-01,71.019997,73.389999,69.669998,72.540001,69.873039,8283500
2014-07-01,72.830002,77.739998,72.000000,76.089996,73.292503,11194200
2014-08-01,76.019997,79.370003,74.110001,78.760002,75.864357,7793600
2014-09-01,78.930000,79.940002,73.800003,74.739998,72.222961,10926200
2014-10-01,74.639999,76.680000,69.040001,75.739998,73.189270,13893200
2014-11-01,75.809998,80.000000,75.360001,79.550003,76.870979,8304400
2014-12-01,79.430000,82.629997,78.339996,80.870003,78.396828,11858400
2015-01-01,81.370003,86.309998,79.620003,84.459999,81.877022,10740000
2015-02-01,84.410004,94.349998,82.870003,93.370003,90.514542,15559100
2015-03-01,93.449997,94.900002,90.709999,93.000000,90.155869,12729300
2015-04-01,93.139999,99.290001,91.610001,96.930000,94.258446,10180500
2015-05-01,97.660004,100.930000,97.339996,100.330002,97.564728,11083900
2015-06-01,100.349998,101.129997,96.849998,97.089996,94.688019,11833600
2015-07-01,97.940002,102.959999,96.160004,102.129997,99.603325,15631100
2015-08-01,102.309998,105.860001,90.940002,98.849998,96.404480,15925500
2015-09-01,95.930000,100.500000,94.589996,97.180000,95.037766,13817200
2015-10-01,97.239998,108.620003,96.220001,106.570000,104.220764,15857700
2015-11-01,106.570000,112.629997,104.000000,111.500000,109.042084,10578000
2015-12-01,112.379997,114.459999,107.199997,111.370003,109.201385,14286300
2016-01-01,109.919998,110.769997,98.400002,105.800003,103.739853,19380400
2016-02-01,105.050003,107.389999,91.720001,104.879997,102.837753,21402400
2016-03-01,105.589996,114.669998,104.660004,114.290001,112.064537,14288500
2016-04-01,113.839996,122.550003,113.089996,120.250000,118.280655,13175400
2016-05-01,120.349998,126.510002,118.339996,125.730003,123.670906,13926200
2016-06-01,125.300003,128.410004,118.050003,128.399994,126.637245,15873600
2016-07-01,128.149994,136.970001,127.849998,132.460007,130.641525,13589600
2016-08-01,132.559998,134.410004,129.110001,131.899994,130.089188,11160200
2016-09-01,131.869995,135.320007,130.149994,134.580002,133.069397,12939300
2016-10-01,134.360001,134.559998,121.800003,123.970001,122.578491,12112100
2016-11-01,124.519997,127.389999,112.730003,114.449997,113.165344,23338100
2016-12-01,114.449997,120.059998,110.870003,118.230003,117.221138,18896400
2017-01-01,118.589996,121.720001,116.510002,117.279999,116.279251,14539300
2017-02-01,117.690002,132.690002,116.309998,131.110001,129.991241,18746000
2017-03-01,132.250000,137.759995,130.899994,136.740005,135.573196,16137500
2017-04-01,136.649994,139.889999,131.619995,135.309998,134.555649,11419000
2017-05-01,135.990005,139.500000,133.490005,136.800003,136.037354,11367200
2017-06-01,137.000000,144.009995,134.509995,137.419998,137.043167,11842200
2017-07-01,137.899994,147.020004,136.660004,145.440002,145.041168,10394200
2017-08-01,146.000000,146.500000,139.139999,142.470001,142.079315,10019100
2017-09-01,142.729996,143.369995,89.589996,105.989998,105.989998,180479500
2017-10-01,106.089996,114.459999,106.000000,108.529999,108.529999,57282300
2017-11-01,109.120003,111.290001,107.629997,108.699997,108.699997,3618100
2017-11-03,110.500000,110.500000,108.639999,108.699997,108.699997,939730
